"dataset","model","loglik","loglik.sd","nfail.max","nfail.min","gamma","eps","rho","delta","deltaI","clin","alpha","beta.trend","log.beta1","log.beta2","log.beta3","log.beta4","log.beta5","log.beta6","omega1","omega2","omega3","omega4","omega5","omega6","sd.beta","tau","S.0","I.0","Rs.0","R1.0","R2.0","R3.0","nbasis","nrstage"
"Bakergange","omega",-3637.69177880651,0.78064953440001,0,0,11.7568470242001,25.3158716461161,0,0.02,0.0376719722111877,1,1,-0.00557034931479914,-0.779397606398877,7.71536039783626,-12.1962211474873,3.27632178932254,1.59566673814534,5.54546260831188,0.095462128495202,1.91054589613536,0.0183197742772413,0.0180421991935362,0.00102796076241789,0.319480145360612,2.93411589050684,0.296277173942643,0.184459290650936,1.13682735833667,0,3.60979207031688,0.70603919836213,0.229720820423205,6,3
"Bakergange","omega",-3638.04261777128,0.724435200232046,0,0,12.7860110736463,17.5179824604277,0,0.02,0.0438249579704413,1,1,-0.00626184729009768,-0.7314219082316,7.71536039783626,-11.8613712773544,4.27237625660806,1.55941218989983,5.54069319998613,0.068321748598014,1.73191910894082,0.0402268744977221,0.00986700986666742,0.000370451271547759,0.837390874014594,3.05479523247646,0.300939870826875,1.41157337020105,1.87158238780253,0,1.75994402056277,5.57154473555098,0.0858370531072728,6,3
"Bakergange","omega",-3638.27351899352,1.23384793596674,0,0,12,15.8158,0,0.02,0.0419080511327081,1,1,-0.00665595032131771,-0.536122858456747,7.71536039783626,-11.5903002427628,2.9849014896733,1.94739309987133,5.33980610025462,0.0741986395551785,0.625875508903613,0.016639968563339,0.0147097747184304,0.000550696535286742,0.342497782914482,2.8677863764599,0.30057380414081,0.515341389645106,1.14824536633461,0,5.21344522898292,0.639343178654647,0.108289920052234,6,3
"Bakergange","omega",-3638.59684992754,0.900699777738007,0,0,11.6934968817387,24.9565272992474,0,0.02,0.0370959526274413,1,1,-0.00670010275791832,-0.751913948304885,7.71536039783626,-12.4932475810475,2.49234376205361,1.9605312170919,5.35636347655615,0.0912772022861498,2.00927819995517,0.0198547145181118,0.0238706381118052,0.000636429571781478,0.483550451614993,2.85958873969352,0.305435710282094,0.38321004451289,2.86849794611033,0,3.55173510715536,6.04438748912028,1.18596617387243,6,3
"Bakergange","omega",-3638.69365814548,0.713317268943677,0,0,12.0043556168822,24.1680453435614,0,0.02,0.0377455973830713,1,1,-0.00631523510920093,-0.758384828321803,7.71536039783626,-12.1825860364529,3.39545198984765,1.79922094747705,5.35869266135226,0.049932529651011,3.33761044893598,0.0191982918212013,0.0234812443838572,0.000311857520777946,1.45418846583203,2.95710968355372,0.303511431329433,0.27354364454952,2.33589039560479,0,7.96350421165877,0.629537039619121,0.30962508031286,6,3
"Bakergange","omega",-3639.46947961628,1.14440733751306,0,0,12,20.8449,0,0.02,0.040491627665441,1,1,-0.00635658510800844,-0.8473830220191,7.91977535780188,-12.245879268811,3.137970166088,1.72923649874504,5.48237725495565,0.260520419164033,0.136811387697385,0.0276756770169501,0.00856079819072217,0.00110630261861515,0.136965771282039,2.73032629308329,0.296976516058212,0.0967033399208424,0.536037052322856,0,0.0769149837922463,1.93695204937901,0.00877200294625056,6,3
"Bakergange","omega",-3639.87430715926,0.827193514981285,0,0,12.0746034513922,22.9217222915025,0,0.02,0.0363803640230239,1,1,-0.00562081892729625,-0.878950956957428,7.71536039783626,-11.5655561082225,3.13461246445214,1.90100714917325,5.34876252460515,0.0925127700505934,1.79403944666656,0.0357781137390047,0.0182845605585607,0.000404066716601145,1.09939604371511,2.98896151559419,0.308780707403256,0.659758002785897,2.0142569896449,0,4.33242835730106,2.35550714240421,0.144564262974831,6,3
"Bakergange","omega",-3640.55387927977,0.62769587590406,0,0,12.2599979020185,53.623274578368,0,0.02,0.0317035683310676,1,1,-0.00617761203807779,-0.711918273320697,7.71536039783626,-11.4936129435331,3.42196408377143,1.80338009944243,5.34110616210689,0.10620554622364,1.47588874828187,0.0488084794595353,0.0202313829385269,0.00065728898004772,1.12852382379356,3.00046329490872,0.301516186206522,0.583586886299714,0.753071547401199,0,1.95606116068721,0.117440723954093,0.0174575638258551,6,3
"Bakergange","omega",-3641.50584405069,0.527137533961618,0,0,12,26.9579942660082,0,0.02,0.0362232119699127,1,1,-0.00720447016738968,-0.939244729737088,7.44039651812394,-10.7358749283276,2.39281539492435,1.69410645431019,5.44829663174152,0.166551816495262,0.888608951801686,0.0191611691613644,0.015081960618501,0.000982068166804198,0.366605845916876,2.82749931910433,0.312077841088702,0.663868162451192,0.815075323625589,0,2.25624743923011,0.44548715292503,0.0012439423061644,6,3
"Bakergange","omega",-3643.16147288085,1.19578420901311,0,0,12,36.2091,0,0.02,0.0340333123440321,1,1,-0.0055700596984919,-0.309347699201884,7.70570931454663,-11.9665917121137,3.25493687568617,1.83781904362068,5.21689341174557,0.121390497350359,0.08919427043335,0.0252820109893879,0.0101667173690236,0.00103503709356347,0.455582759815588,2.68138541198621,0.312649994157697,6.21316990855357,1.43812054953044,0,0.293820458152854,0.00625906651171625,0.00521934518858518,6,3
"Bakergange","omega",-3643.29399965,1.54886184245473,0,0,12,15.8158,0,0.02,0.0427303785288483,1,1,-0.00491085906310805,-0.517331535139659,7.78423458259464,-12.4088811582007,2.37432621677975,1.96600743948746,5.30113278260589,0.105081872481017,0.154026607788421,0.0299161675997724,0.00846126648677874,0.00122013366034418,0.134365008038634,2.61149940791679,0.312152532818351,0.116656551885089,1.06343101457016,0,4.46249231810843,0.00442296415488704,0.0713567593328418,6,3
"Bakergange","omega",-3643.40040477559,2.60571403656489,0,0,12,26.9579942660082,0,0.02,0.0362232119699127,1,1,-0.00720447016738968,-0.939244729737088,7.44039651812394,-10.7358749283276,2.39281539492435,1.69410645431019,5.44829663174152,0.166551816495262,0.888608951801686,0.0191611691613644,0.015081960618501,0.000982068166804198,0.366605845916876,2.82749931910433,0.312077841088702,0.663868162451192,0.815075323625589,0,2.25624743923011,0.44548715292503,0.0012439423061644,6,3
